ts,open,high,low,close,volume,n_ticks
2024-06-03 00:00:00+00:00,5288.13,5296.886,5287.621,5293.404,1.6383999744430184,1090
2024-06-03 01:00:00+00:00,5293.6045,5295.3845,5288.633,5290.886,1.007879984448664,681
2024-06-03 02:00:00+00:00,5291.033,5294.639,5290.7455,5294.3815,0.6304799902718514,426
2024-06-03 03:00:00+00:00,5294.633,5295.886,5292.1315,5293.6345,0.5416799916420132,366
2024-06-03 04:00:00+00:00,5293.8785,5296.88,5293.627,5295.4955,0.32609999494161457,219
2024-06-03 05:00:00+00:00,5295.624,5296.404,5292.404,5294.1615,0.8480399869149551,573
2024-06-03 06:00:00+00:00,5293.877,5299.1375,5291.6255,5295.353,7.498399959295057,1140
2024-06-03 07:00:00+00:00,5295.5,5297.139,5283.121,5284.1285,13.906199924647808,2107
2024-06-03 08:00:00+00:00,5284.033,5293.883,5281.1405,5291.356,11.259599938988686,1706
2024-06-03 09:00:00+00:00,5291.63,5292.6225,5285.1315,5288.633,8.203799955546856,1243
2024-06-03 10:00:00+00:00,5288.7485,5290.63,5286.506,5288.097,7.979399956762791,1209
2024-06-03 11:00:00+00:00,5287.9085,5294.657,5287.0985,5293.877,8.553599953651428,1296
2024-06-03 12:00:00+00:00,5293.63,5295.913,5290.8485,5291.883,7.273199960589409,1102
2024-06-03 13:00:00+00:00,5292.1225,5299.1615,5282.1345,5287.886,30.093399837613106,2992
2024-06-03 14:00:00+00:00,5293.6285,5295.1255,5265.6015,5268.636,64.11919965222478,5828
2024-06-03 15:00:00+00:00,5268.871,5275.1215,5262.383,5269.3,38.96199978888035,3542
2024-06-03 16:00:00+00:00,5269.553,5272.7315,5239.4345,5244.9355,56.52710769616169,5146
2024-06-03 17:00:00+00:00,5245.193,5262.77,5233.257,5259.2515,42.03099977225065,3821
2024-06-03 18:00:00+00:00,5258.9955,5268.8315,5253.69,5265.3145,38.71099979057908,3519
2024-06-03 19:00:00+00:00,5265.1785,5285.857,5263.9385,5285.857,35.774199806153774,3234
2024-06-03 20:00:00+00:00,5285.577,5287.083,5283.586,5286.83,1.0334199909120798,369
2024-06-03 22:00:00+00:00,5286.013,5288.1545,5284.6355,5286.4585,0.4365999932633713,295
2024-06-03 23:00:00+00:00,5286.186,5287.539,5282.7315,5283.2315,0.41309999371878803,278
2024-06-04 00:00:00+00:00,5282.9845,5289.723,5282.9845,5288.7475,0.9989999845856801,675
2024-06-04 01:00:00+00:00,5288.487,5289.234,5285.024,5287.5255,0.800679987645708,541
2024-06-04 02:00:00+00:00,5287.26,5287.5285,5284.823,5285.8315,0.5919999908655882,400
2024-06-04 03:00:00+00:00,5285.589,5286.5585,5282.3315,5285.627,0.5431599916191772,367
2024-06-04 04:00:00+00:00,5285.371,5286.937,5283.933,5283.933,0.3403999947477132,230
2024-06-04 05:00:00+00:00,5284.1725,5285.1885,5282.4555,5284.7215,0.6255499903345481,422
2024-06-04 06:00:00+00:00,5284.964,5284.977,5273.553,5275.0545,5.876279968069866,895
2024-06-04 07:00:00+00:00,5274.803,5279.5885,5268.8215,5275.8525,12.71819993108511,1927
2024-06-04 08:00:00+00:00,5275.5995,5275.746,5256.1915,5257.723,17.965199902653694,2722
2024-06-04 09:00:00+00:00,5257.9715,5259.46,5248.7185,5254.243,16.473599910736084,2496
2024-06-04 10:00:00+00:00,5254.39,5258.3075,5250.0295,5257.316,10.639199942350388,1612
2024-06-04 11:00:00+00:00,5257.56,5267.094,5257.313,5266.857,8.566799953579903,1298
2024-06-04 12:00:00+00:00,5266.727,5269.6585,5259.1025,5268.6415,10.520399942994118,1594
2024-06-04 13:00:00+00:00,5268.3855,5275.493,5265.154,5272.0815,37.0126997991465,3696
2024-06-04 14:00:00+00:00,5273.8185,5284.95,5265.35,5267.107,69.33999962452799,6302
2024-06-04 15:00:00+00:00,5266.8855,5273.761,5259.223,5260.2485,40.626299779862165,3688
2024-06-04 16:00:00+00:00,5260.7485,5276.843,5257.0385,5272.08,34.27699981443584,3115
2024-06-04 17:00:00+00:00,5272.333,5278.559,5264.457,5275.7855,36.309999803081155,3300
2024-06-04 18:00:00+00:00,5275.553,5299.037,5274.5455,5291.367,37.534399796277285,3412
2024-06-04 19:00:00+00:00,5291.1515,5293.356,5273.8115,5290.834,51.92319971974939,4718
2024-06-04 20:00:00+00:00,5291.367,5292.623,5287.597,5291.3785,0.7659799925750121,285
2024-06-04 22:00:00+00:00,5292.0825,5295.4015,5289.344,5295.3415,0.49875999230425805,337
2024-06-04 23:00:00+00:00,5295.6185,5299.366,5295.364,5298.394,0.5855899909511209,395
